from	to
237357_at	ENSG00000225174
235736_at	ENSG00000240204
1563369_at	ENSG00000196668
237591_at	ENSG00000196668
232752_at	ENSG00000261801
243083_at	ENSG00000230000
240999_at	ENSG00000230000
1559510_at	ENSG00000223546
1569674_at	ENSG00000223546
240752_at	ENSG00000277182
236986_at	ENSG00000229228
1565728_at	ENSG00000215912
1565728_at	ENSG00000275571
234611_at	ENSG00000223776
224038_at	ENSG00000265354
225535_s_at	ENSG00000265354
218118_s_at	ENSG00000265354
218119_at	ENSG00000265354
242226_at	ENSG00000261024
1560181_at	ENSG00000267690
230940_at	ENSG00000267244
201103_x_at	ENSG00000162825
213612_x_at	ENSG00000162825
227927_at	ENSG00000162825
201104_x_at	ENSG00000162825
227926_s_at	ENSG00000162825
234890_at	ENSG00000217801
230910_s_at	ENSG00000253741
1559403_at	ENSG00000270362
1559404_a_at	ENSG00000270362
215920_s_at	ENSG00000273807
215920_s_at	ENSG00000183793
215920_s_at	ENSG00000183889
215920_s_at	ENSG00000282705
215920_s_at	ENSG00000233024
215123_at	ENSG00000273807
215123_at	ENSG00000183793
215123_at	ENSG00000183889
215123_at	ENSG00000282705
215123_at	ENSG00000233024
211996_s_at	ENSG00000273807
211996_s_at	ENSG00000183793
211996_s_at	ENSG00000183889
211996_s_at	ENSG00000282705
211996_s_at	ENSG00000233024
215002_at	ENSG00000273807
215002_at	ENSG00000183793
215002_at	ENSG00000183889
215002_at	ENSG00000282705
215002_at	ENSG00000233024
221501_x_at	ENSG00000273807
221501_x_at	ENSG00000183793
221501_x_at	ENSG00000183889
221501_x_at	ENSG00000282705
221501_x_at	ENSG00000233024
244766_at	ENSG00000273807
244766_at	ENSG00000183793
244766_at	ENSG00000183889
244766_at	ENSG00000282705
244766_at	ENSG00000233024
214870_x_at	ENSG00000273807
214870_x_at	ENSG00000183793
214870_x_at	ENSG00000183889
214870_x_at	ENSG00000282705
214870_x_at	ENSG00000233024
231989_s_at	ENSG00000273807
231989_s_at	ENSG00000183793
231989_s_at	ENSG00000183889
231989_s_at	ENSG00000282705
231989_s_at	ENSG00000233024
240377_at	ENSG00000273807
240377_at	ENSG00000183793
240377_at	ENSG00000183889
240377_at	ENSG00000282705
240377_at	ENSG00000233024
215921_at	ENSG00000273807
215921_at	ENSG00000183793
215921_at	ENSG00000183889
215921_at	ENSG00000282705
215921_at	ENSG00000233024
219987_at	ENSG00000226887
215247_at	ENSG00000184115
229095_s_at	ENSG00000184115
229096_at	ENSG00000184115
1558750_a_at	ENSG00000187951
216473_x_at	ENSG00000283949
216473_x_at	ENSG00000260596
208201_at	ENSG00000283949
208201_at	ENSG00000260596
212687_at	ENSG00000256671
207198_s_at	ENSG00000256671
223800_s_at	ENSG00000256671
233929_x_at	ENSG00000226210
1557034_s_at	ENSG00000226210
231811_at	ENSG00000226210
225035_x_at	ENSG00000226210
226340_x_at	ENSG00000226210
1554042_s_at	ENSG00000198326
1554041_at	ENSG00000198326
1553474_at	ENSG00000277630
207918_s_at	ENSG00000236424
230696_at	ENSG00000260442
241484_x_at	ENSG00000282826
215160_x_at	ENSG00000282826
235535_x_at	ENSG00000282826
204145_at	ENSG00000282826
239896_at	ENSG00000237310
230277_at	ENSG00000244219
1557597_at	ENSG00000278811
215658_at	ENSG00000263429
236001_at	ENSG00000263429
240574_at	ENSG00000247400
239119_at	ENSG00000247400
232420_x_at	ENSG00000268996
229338_at	ENSG00000268129
1557038_s_at	ENSG00000228889
1557037_a_at	ENSG00000228889
207356_at	ENSG00000275444
207356_at	ENSG00000177257
207356_at	ENSG00000285433
217376_at	ENSG00000232528
237266_at	ENSG00000226009
227822_at	ENSG00000196458
1559849_at	ENSG00000196458
221876_at	ENSG00000204946
1569473_s_at	ENSG00000204946
1556224_a_at	ENSG00000204946
78495_at	ENSG00000204946
221963_x_at	ENSG00000269343
208451_s_at	ENSG00000233312
1559036_at	ENSG00000233312
214428_x_at	ENSG00000233312
1569078_at	ENSG00000263069
1568974_at	ENSG00000225391
204677_at	ENSG00000179776
226448_at	ENSG00000283799
200874_s_at	ENSG00000284481
200875_s_at	ENSG00000284481
1555996_s_at	ENSG00000283958
200912_s_at	ENSG00000283958
239727_at	ENSG00000283857
222087_at	ENSG00000283710
1558290_a_at	ENSG00000283710
216240_at	ENSG00000283710
1562153_a_at	ENSG00000283710
33132_at	ENSG00000284139
201639_s_at	ENSG00000284139
64474_g_at	ENSG00000284464
218650_at	ENSG00000284464
91617_at	ENSG00000284464
219811_at	ENSG00000284464
226144_at	ENSG00000284216
206163_at	ENSG00000221348
221580_s_at	ENSG00000284458
222728_s_at	ENSG00000284458
209219_at	ENSG00000284446
217756_x_at	ENSG00000221792
224625_x_at	ENSG00000221792
218680_x_at	ENSG00000221792
226692_at	ENSG00000221792
233746_x_at	ENSG00000221792
208963_x_at	ENSG00000284416
208962_s_at	ENSG00000284416
208964_s_at	ENSG00000284416
212801_at	ENSG00000283768
242872_at	ENSG00000283768
228609_at	ENSG00000284332
200772_x_at	ENSG00000284378
216384_x_at	ENSG00000284378
211921_x_at	ENSG00000284378
1569885_at	ENSG00000242759
224524_s_at	ENSG00000270898
1559646_a_at	ENSG00000224939
1559645_at	ENSG00000224939
1558515_at	ENSG00000230590
239431_at	ENSG00000251201
214658_at	ENSG00000251201
228234_at	ENSG00000251201
209404_s_at	ENSG00000251201
206090_s_at	ENSG00000270106
207759_s_at	ENSG00000270106
239242_at	ENSG00000224281
