Gene,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9
TTC33,0.20251877115373298,0.1972204111498455,0.20081563291183058,0.1924378622614202,0.1708239031965996,0.1660627321310066,0.222766674466627,0.1883640979501406,0.20676795572183432,0.1551917789153065
WWC1,0.13612448696394844,0.19685946154528833,0.20962605661691947,0.2225370825861945,0.23662967994364587,0.22149621261723235,0.15836419599477636,0.18044570625936868,0.18120615847629773,0.23931312944174668
DPYSL3,0.25158323889063183,0.1731507727482898,0.2931479023487239,0.2421414841323592,0.19869355114647136,0.23793707913246476,0.23009013088932576,0.23535202632808216,0.2714769273274641,0.21732133343696583
ERGIC1,0.37509481179400594,0.385128611072566,0.410078075739051,0.3886805772196342,0.39991816291020255,0.40730214536161163,0.34828215487464437,0.3812078805143025,0.32421957720343514,0.4373546502695165
PDGFRB,3.2902027749703078,0.5602172580926664,0.9453254473452994,1.4280918262319984,0.6947820165706639,0.8431245576150825,1.1607628828882526,1.5766054493830421,0.3231342463590616,1.2316321509360717
STC2,0.27348451052721895,0.2924112167651682,0.2966444513058137,0.35973173094595107,0.35072714709236474,0.28992208129346225,0.40545143099641573,0.33156790265518665,0.2014662560626245,0.22270418456553495
DBN1,0.42367269055280576,0.36168033354112217,0.43662805143873634,0.4080909780427347,0.4044182257954517,0.36780768518025936,0.3651628969651042,0.3926175369359964,0.2825045899385258,0.379782387841886
ZNF346,0.16963542795698272,0.17092447671721311,0.19683774624582545,0.20259894161581693,0.1964505016572033,0.17345176016678526,0.17921154166761738,0.1867747393896888,0.17797704216591576,0.1668970377622716
SMC4,0.2555094279048364,0.21895241415246325,0.2181262924574507,0.29365460410940125,0.25821298073861376,0.2446214933834395,0.23365682056948886,0.2644628090002728,0.1893760978947475,0.2569131809637414
ACTR8,0.15853024488258283,0.1776591718751486,0.19885430582999553,0.19336399157357365,0.1990903758230345,0.15470923993880886,0.18840048481838,0.18502584531737307,0.16217472575609476,0.13607188475758583
HRG,0.0192548533256276,0.02614564290493007,0.01494502606454971,0.029174680892189744,0.026506443843217823,0.032108315711068564,0.016173237659642133,0.02603283898766992,0.025188110272206455,0.0382315436679808
BCL6,0.29967957003052903,0.21757133628709757,0.25702470821181345,0.23544095095576514,0.25257110434570934,0.265387783654821,0.22369168347352736,0.24384313550642672,0.2145289744372556,0.26932286622576646
HGD,0.5123303862172828,0.4481670240975978,0.559230271024615,0.5076759950393054,0.5334489805671457,0.48960070069168643,0.4418383169837382,0.44163239159113993,0.5946689806236045,0.4068599571978865
NPHP3,0.23361545326311942,0.2146832267231275,0.21251767535848484,0.25774796892745583,0.22929073187856705,0.2405781061761689,0.20781618786526407,0.23490548227224606,0.23500285381778882,0.2520677628895188
AMOTL2,0.06968332961730117,0.13305584054943792,0.15026956472951858,0.1337265782590344,0.14654197620041554,0.12471434137775794,0.11916800412452729,0.11821970445175171,0.09725684753391355,0.11881051181941657
ARMC8,0.42814475203031177,0.4416454912146975,0.4555663222316608,0.45780382090792116,0.4396983726649374,0.39581829246597966,0.44025087624468784,0.45113637229190956,0.4368001753798188,0.39809621626415326
CEP70,0.1871228508730673,0.20682410099376602,0.19131160667800334,0.14967113418794983,0.1692619892653342,0.16348744354675265,0.1742540064440761,0.16928918828050166,0.201335524489172,0.16870644439504284
RBP1,1.9546311593148231,2.040572478079813,2.670973321026149,2.3264466870163982,2.2946951659299524,2.230874046741377,1.876941471595109,2.161443374942462,1.98454686353204,2.414566603713812
KAT2B,0.12171537365279564,0.16836113680034498,0.18810627439759176,0.1698617851673122,0.17921820710719905,0.14214444217487743,0.15803052783388805,0.16319161916567765,0.1900676457822938,0.13039445293811674
BCHE,0.06778134410325602,0.1075522338725594,0.3171464782941955,0.1181729300111604,0.10945996105296044,0.3120239178515638,0.19656128103598788,0.18792216762689432,0.1955778717321391,0.3462808353045135
SERPINI2,0.1262195375063924,0.08472135732449183,0.049625102986983444,0.005172175139459715,0.08446153499937371,0.09156946328127942,0.07516400751271402,0.057024062098746414,0.08290016017518606,0.03981066341102381
WNT5A,0.4812702938654359,0.08047166367103399,0.13322479243216306,0.20785426430233747,0.10105197099622461,0.13030696211193935,0.16085785431812202,0.22934951050632157,0.04809412234002392,0.1946461518637113
PFKFB4,0.08429341253814691,0.07832804280083852,0.08816554696509045,0.08586917618399365,0.0915580643735128,0.09242867094959037,0.0756577582518218,0.0851947360663971,0.08223203532206792,0.09652181880049618
COL7A1,0.2778663115049053,0.057975885236111704,0.08010588245793723,0.1320034193824198,0.0710642603144623,0.08914324426282136,0.09463546717110836,0.1413787882614162,0.038299580335555854,0.12962300764658102
FGF12,0.1445009145137441,0.14351910982984512,0.2156529914985908,0.21303881362580973,0.1931089646986875,0.20951083816606783,0.1920732160679932,0.17650317033105858,0.2036952544218844,0.20688853219721087
HES1,0.7434747462017288,0.8277488021513827,0.6879517235979431,0.6742193950456901,0.6442423155393076,0.5906130524571243,0.9004709497737292,0.7010690458832208,0.6828940106458563,0.4956331948796868
HYAL1,0.06693778196910949,0.10589337102797801,0.14511600186982893,0.1371929509349596,0.12033778627621852,0.11113486852219397,0.0897810221374098,0.11017152250061749,0.07094483586927414,0.1402261210582063
CBLB,0.4246990334384123,0.31302550677858054,0.36023099227466016,0.4153762156175446,0.3557636020767001,0.3237647018429703,0.39905419521104535,0.3920324550539498,0.2721979648900238,0.30524821988699635
HHLA2,0.19360251566117243,0.15912507307546989,0.11673717834298006,0.05035009001537849,0.16217075683149973,0.17122383726633297,0.13184592524752878,0.11481353193198589,0.1450519599080565,0.10908725085628374
GBE1,0.4328166826812748,0.4455507266542612,0.44585173401108047,0.4123832544724709,0.4249879574240975,0.36208026549104827,0.5069672519086021,0.43232508225590294,0.4057480389662215,0.28073302167913017
UMPS,0.34764182723324727,0.38458260965409335,0.40834268369700844,0.38335911572742876,0.3832194877859222,0.348193475615961,0.41855498127775986,0.38110461663605344,0.3644191797328894,0.30913877743337353
PLXNA1,0.25923154311165025,0.16090922513299705,0.18040711467947956,0.2164318583670602,0.19405625037064184,0.17829000541341902,0.19610320450745256,0.2030634836266066,0.1342308665101471,0.17739581634991947
UPK1B,0.007356320303811916,0.048026386058096726,0.06590186450761762,0.06115688069331174,0.05522624365761858,0.05259571992485607,0.02737488060553179,0.04225342302938761,0.032817491198213804,0.07331425249952597
HEMK1,0.2734788117337434,0.27832327840191745,0.25373076403323624,0.3415557232585562,0.3229701607373666,0.33945977575460606,0.23999783720137408,0.3007806150361271,0.2847813966600984,0.3754436062094474
CISH,0.10876894394265677,0.10480713437903386,0.1073363698248798,0.09276803562470429,0.10000352629236123,0.09394547230120451,0.09362989132431628,0.09300476909136722,0.08870220091340683,0.10108564645531104
MAPKAPK3,0.49920948644843716,0.4244761745620186,0.34394554050221465,0.31267001954261375,0.2989691209135687,0.29805882603758854,0.4386013582731411,0.3397652252657679,0.4301593440575013,0.27109623241162445
ACVR2B,0.04696538844009622,0.04715066423023857,0.05445596053630305,0.0593931147267801,0.05666509126255641,0.05718394335859166,0.04561780358626346,0.05067170227888054,0.05768785852280271,0.05788545747888128
WDR48,0.3454597970345092,0.3899194995042147,0.41897477566284225,0.38039062282468655,0.3771453894686713,0.3361789510653901,0.42670187135389803,0.3787653107730774,0.3838319882319549,0.2964397858274122
GORASP1,0.24386920375904833,0.24848897952460502,0.30164840385597,0.2938852446219992,0.2892343593083603,0.26345409789917656,0.2661376115116523,0.2693899364403173,0.24434023388676962,0.25773880204626104
PEX5L,0.016519767609886434,0.037976587003209154,0.03316787360286403,0.018716108498387864,0.032957275026913584,0.017791278883427207,0.01730227685209506,0.030922791876732456,0.03740381950939707,0.019761499484614323
ABCC5,0.23516781419255445,0.2170464588782451,0.29711876729650966,0.2576944942558417,0.22838320247868346,0.280663823867494,0.25948434941346793,0.2593576822397035,0.2565883639807789,0.306818701881637
AADAC,0.05456815842526081,0.0366371808769243,0.02150211712231065,0.0022954610612907853,0.03653507156360906,0.0396712093428723,0.03247838951433075,0.02469314557493268,0.03559178944074974,0.017467213066385615
KLHL24,0.4337548692523374,0.4555815781948093,0.501392682643832,0.4966533634374665,0.4983980531479277,0.4317076901888461,0.4784719713944855,0.47710068708694264,0.4249514695494747,0.3844987334084325
PLCH1,0.05550795615671347,0.055112556362393976,0.0647777297641301,0.08292361618968631,0.07289506006866818,0.06228923520635929,0.05531828181539438,0.05855492639082275,0.07152749369040043,0.06086595881816684
VIPR1,0.07046543372424809,0.05159360645389855,0.06826699912242143,0.08727813946629122,0.06716004879928335,0.0444689231223836,0.04981277772867864,0.05532408210168651,0.08584382254943661,0.03402701577547662
DNAH1,0.05908383338460142,0.054875196430218244,0.03694624009369787,0.05510634439574891,0.04765500960359533,0.05328847284038336,0.053117812804058945,0.0502575119990272,0.054410044485579866,0.05779663178148606
NKTR,0.9326706671099704,0.8684184352605696,0.87803162920546,1.0248364655185862,0.8999228145779177,0.9582377036048715,0.8655714119736595,0.9146532539361933,0.992961836778948,1.0040835091011333
SLC4A3,0.06296106683074035,0.06956122746752871,0.08273308169427965,0.08971288448069345,0.08359470429058978,0.08319717258595655,0.06405000741928514,0.07567804351722923,0.08808382876622761,0.08635886952403307
KANSL3,0.632880952339307,0.5342747276356213,0.43332482357809526,0.42268872767288956,0.333506685051192,0.40607945873474705,0.5717302539890292,0.4517035488155162,0.5557564386048709,0.4185649163301846
LMAN2L,0.4540104216915253,0.4418070099884718,0.3764341576031456,0.34959558203432683,0.2988085780084858,0.29460232952441034,0.4960289921644516,0.36397593463308353,0.4480239774207025,0.2633690579537863
TTL,0.19132715092125013,0.1892486607029884,0.1961783564562504,0.23382256389731026,0.21624091967689243,0.19640945243690172,0.19417345397024882,0.20639429153548955,0.1928869241691893,0.18950639031442634
