NAME,Description,NK.cells,endothelial.cells,fibroblasts,macrophages,memory.B.cells,memory.CD4.T.cells,memory.CD8.T.cells,myeloid.dendritic.cells,naive.B.cells,naive.CD4.T.cells,naive.CD8.T.cells,others,regulatory.T.cells,monocytes
ENSG00000130300,PLVAP,0.04,18.414,0.07400000000000001,0.066,0.021,0.034,0.048,0.037000000000000005,0.028999999999999998,0.026000000000000002,0.0,0.022000000000000002,0.024,0.055
ENSG00000130513,GDF15,0.019,0.017,0.046,0.022000000000000002,0.005,0.006,0.005,0.025,0.006,0.004,0.011000000000000001,0.168,0.003,0.037000000000000005
ENSG00000130635,COL5A1,0.0,0.17600000000000002,3.0789999999999997,0.003,0.005,0.025,0.012,0.006,0.003,0.003,0.0,0.043,0.047,0.015
ENSG00000130707,ASS1,0.004,0.53,0.115,0.015,0.01,0.01,0.016,0.008,0.006999999999999999,0.004,0.009000000000000001,0.436,0.022000000000000002,0.024
ENSG00000131015,ULBP2,0.016,0.077,0.009000000000000001,0.011000000000000001,0.006999999999999999,0.067,0.08900000000000001,0.01,0.008,0.018000000000000002,0.027999999999999997,0.004,0.031,0.0
ENSG00000131016,AKAP12,0.068,1.6440000000000001,1.591,0.024,0.005,0.003,0.005,0.125,0.003,0.003,0.0,0.057999999999999996,0.004,0.006999999999999999
ENSG00000131055,COX4I2,0.003,0.16899999999999998,0.004,0.002,0.0,0.003,0.003,0.0,0.001,0.0,0.0,0.09300000000000001,0.001,0.002
ENSG00000131096,PYY,0.0,0.001,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.22699999999999998,0.0,0.026000000000000002
ENSG00000131097,HIGD1B,0.0,0.32799999999999996,0.004,0.003,0.004,0.004,0.004,0.01,0.003,0.002,0.0,0.087,0.001,0.0
ENSG00000131142,CCL25,0.021,0.017,0.018000000000000002,0.011000000000000001,0.027999999999999997,0.02,0.021,0.012,0.022000000000000002,0.057,0.04,0.879,0.011000000000000001,0.0
ENSG00000131188,PRR7,0.528,0.098,0.062,0.092,0.141,0.42100000000000004,0.414,0.042,0.196,0.125,0.084,0.131,0.174,0.0
ENSG00000131203,IDO1,0.005,0.207,0.5529999999999999,1.433,0.03,0.005,0.005,4.013,0.02,0.006,0.0,0.01,0.006999999999999999,1.1079999999999999
ENSG00000131435,PDLIM4,0.0,0.7170000000000001,1.135,0.018000000000000002,0.004,0.006999999999999999,0.006999999999999999,0.016,0.003,0.004,0.0,0.064,0.011000000000000001,0.018000000000000002
ENSG00000131459,GFPT2,0.067,0.019,0.23,0.021,0.018000000000000002,0.33799999999999997,0.775,0.026000000000000002,0.024,0.062,0.011000000000000001,0.018000000000000002,0.05,0.009000000000000001
ENSG00000131471,AOC3,0.008,0.08199999999999999,0.462,0.0,0.0,0.002,0.001,0.001,0.0,0.001,0.0,0.024,0.0,0.001
ENSG00000131477,RAMP2,0.004,10.739,0.163,0.051,0.008,0.013000000000000001,0.013000000000000001,0.019,0.006999999999999999,0.004,0.009000000000000001,0.025,0.013000000000000001,0.013000000000000001
ENSG00000131634,TMEM204,0.062,1.8019999999999998,0.444,0.013000000000000001,0.011000000000000001,0.102,0.076,0.011000000000000001,0.022000000000000002,0.10400000000000001,0.066,0.039,0.061,0.03
ENSG00000131669,NINJ1,0.526,0.41700000000000004,0.5660000000000001,1.959,0.111,0.303,0.327,0.982,0.048,0.149,0.105,0.28,0.486,0.0
ENSG00000131711,MAP1B,0.006999999999999999,0.748,0.608,0.002,0.037000000000000005,0.002,0.006,0.003,0.003,0.001,0.0,0.131,0.002,0.001
ENSG00000131747,TOP2A,0.161,0.03,0.059000000000000004,0.026000000000000002,0.008,0.009000000000000001,0.015,0.141,0.01,0.006,0.01,0.166,0.023,0.684
ENSG00000131773,KHDRBS3,0.005,0.028999999999999998,0.20600000000000002,0.002,0.008,0.002,0.0,0.026000000000000002,0.013000000000000001,0.0,0.0,0.027000000000000003,0.005,0.0
ENSG00000131981,LGALS3,0.125,2.858,2.784,3.093,0.11699999999999999,1.002,0.597,1.1840000000000002,0.105,0.195,0.08,3.96,0.74,0.0
ENSG00000132003,ZSWIM4,0.106,0.092,0.053,0.044000000000000004,0.019,0.066,0.156,0.039,0.008,0.015,0.013000000000000001,0.038,0.028999999999999998,0.0
ENSG00000132185,FCRLA,0.012,0.0,0.012,0.003,0.96,0.002,0.001,0.003,0.7909999999999999,0.001,0.0,0.039,0.008,0.011000000000000001
ENSG00000132334,PTPRE,0.447,0.8320000000000001,0.26,1.7690000000000001,0.042,0.16899999999999998,0.20199999999999999,1.7990000000000002,0.105,0.13699999999999998,0.11699999999999999,0.128,0.21100000000000002,2.254
ENSG00000132386,SERPINF1,0.01,0.14800000000000002,9.11,0.509,0.026000000000000002,0.011000000000000001,0.016,0.32,0.012,0.015,0.037000000000000005,0.15,0.009000000000000001,0.552
ENSG00000132514,CLEC10A,0.013999999999999999,0.046,0.046,4.896,0.01,0.013999999999999999,0.015,4.143,0.006,0.017,0.008,0.013000000000000001,0.004,2.52
ENSG00000132561,MATN2,0.022000000000000002,0.772,0.812,0.006999999999999999,0.004,0.037000000000000005,0.016,0.012,0.001,0.004,0.0,0.23,0.011000000000000001,0.015
ENSG00000132688,NES,0.0,0.995,0.38799999999999996,0.004,0.001,0.002,0.002,0.009000000000000001,0.0,0.0,0.0,0.025,0.0,0.003
ENSG00000133026,MYH10,0.01,0.373,0.466,0.0,0.004,0.006,0.005,0.002,0.002,0.006,0.02,0.01,0.004,0.0
ENSG00000133048,CHI3L1,0.0,0.006999999999999999,5.766,0.121,0.002,0.002,0.002,0.011000000000000001,0.0,0.012,0.0,0.005,0.0,0.047
