NAME,NK.cells,endothelial.cells,fibroblasts,macrophages,memory.B.cells,memory.CD4.T.cells,memory.CD8.T.cells,myeloid.dendritic.cells,naive.B.cells,naive.CD4.T.cells,naive.CD8.T.cells,others,regulatory.T.cells,monocytes
ENSG00000125144,0.034,0.081,0.196,3.667,0.177,0.121,0.217,0.242,0.046,0.334,0.105,2.795,0.306,0.737
ENSG00000125148,4.606,11.681,15.477,21.296,3.568,3.401,6.974,5.41,0.593,3.925,1.706,4.439,5.841,5.3439999999999985
ENSG00000125245,0.294,0.009000000000000001,0.026,0.029,0.368,0.263,0.488,0.07400000000000001,1.5619999999999998,0.508,0.917,0.033,0.115,0.037000000000000005
ENSG00000125255,0.0,0.0,0.001,0.004,0.0,0.003,0.001,0.0,0.003,0.001,0.011,0.142,0.001,0.0
ENSG00000125378,0.0,0.043,0.8859999999999999,0.001,0.001,0.0,0.002,0.0,0.0,0.002,0.0,0.006999999999999999,0.0,0.011
ENSG00000125538,0.033,0.05,0.073,14.486,0.037000000000000005,0.016,0.021,3.631,0.02,0.024,0.0,0.039,0.027000000000000003,20.654
ENSG00000125726,0.005,0.001,0.015,0.026,0.35600000000000004,0.06,0.078,0.215,0.039,0.009000000000000001,0.014,0.038,0.202,0.005
ENSG00000125730,0.004,0.008,3.135,0.034,0.004,0.001,0.001,0.002,0.002,0.006999999999999999,0.0,0.008,0.0,0.03
ENSG00000125735,0.598,0.008,0.057,0.073,0.01,0.122,0.162,0.05,0.018000000000000002,0.028,0.0,0.024,0.055,0.028
ENSG00000125810,0.013,3.881,0.01,0.72,0.006,0.006999999999999999,0.004,0.312,0.014,0.01,0.0,0.006,0.006999999999999999,0.862
ENSG00000125910,0.222,0.087,0.014,0.108,0.258,0.241,0.262,0.08199999999999999,0.373,0.39,0.247,0.084,0.434,0.149
ENSG00000125968,0.087,8.535,0.35,0.07400000000000001,0.026,0.053,0.071,0.029,0.023,0.056,0.038,0.884,0.036000000000000004,0.15
ENSG00000125999,0.013,0.008,0.013,0.011,0.011,0.009000000000000001,0.006,0.008,0.008,0.004,0.01,0.162,0.006999999999999999,0.0
ENSG00000126353,0.099,0.026,0.033,0.354,1.487,0.29600000000000004,0.192,3.04,1.169,2.5660000000000003,3.547,0.058,0.657,0.121
ENSG00000126803,0.057,0.175,0.269,0.032,0.027000000000000003,0.056,0.083,0.037000000000000005,0.033,0.026,0.008,0.099,0.028,0.076
ENSG00000127074,0.039,0.002,0.002,0.038,0.056,0.005,0.008,0.041,0.112,0.008,0.014,0.061,0.009000000000000001,0.057
ENSG00000127318,0.006,0.01,0.01,0.012,0.011,0.8320000000000001,0.018000000000000002,0.01,0.004,0.03,0.0,0.142,0.038,0.006
ENSG00000127324,0.037000000000000005,0.057,0.049,0.06,0.037000000000000005,0.056,0.052000000000000005,0.049,0.047,0.097,0.065,3.662,0.046,0.354
ENSG00000127329,0.014,3.475,0.003,0.005,0.004,0.006999999999999999,0.01,0.002,0.005,0.002,0.0,0.011,0.006,0.013
ENSG00000127533,0.019,1.732,0.025,0.004,0.006,0.003,0.005,0.003,0.004,0.003,0.0,0.006,0.003,0.001
ENSG00000127920,0.031,19.561,3.522,0.055,0.081,0.047,0.059,0.133,0.058,0.034,0.009000000000000001,0.104,0.026,0.038
ENSG00000127951,0.085,0.348,0.103,6.553,0.118,0.08900000000000001,0.101,3.029,0.112,0.086,0.024,0.17800000000000002,0.13699999999999998,4.691
ENSG00000127954,0.034,0.172,0.362,0.037000000000000005,0.039,0.04,0.025,0.051,0.03,0.018000000000000002,0.009000000000000001,0.106,0.016,0.081
ENSG00000127990,0.011,0.141,1.35,0.001,0.026,0.002,0.006,0.0,0.046,0.0,0.019,0.073,0.003,0.002
ENSG00000128040,0.531,0.016,0.024,0.015,0.037000000000000005,0.202,0.482,0.013,0.04,0.123,0.245,0.37,0.044,0.031
ENSG00000128052,0.0,1.802,0.009000000000000001,0.001,0.003,0.002,0.003,0.001,0.0,0.0,0.0,0.002,0.003,0.001
ENSG00000128218,0.051,0.022,0.024,0.028,4.521,0.006,0.013,0.038,5.461,0.006999999999999999,0.019,0.11,0.017,0.036000000000000004
ENSG00000128322,0.026,0.014,0.033,0.015,0.038,0.008,0.011,0.01,0.026,0.006999999999999999,0.0,1.269,0.008,0.017
ENSG00000128342,0.206,0.012,0.241,0.012,0.001,0.025,0.009000000000000001,0.014,0.0,0.002,0.0,0.07,0.02,0.0
ENSG00000128383,0.006999999999999999,0.002,0.001,0.196,0.009000000000000001,0.006,0.011,0.031,0.008,0.001,0.009000000000000001,0.018000000000000002,0.006999999999999999,0.0
ENSG00000128567,0.005,2.894,0.009000000000000001,0.004,0.008,0.005,0.006999999999999999,0.004,0.002,0.006999999999999999,0.0,0.012,0.002,0.013
ENSG00000128656,0.018000000000000002,0.207,0.316,0.026,0.013,0.541,0.182,0.011,0.035,0.109,0.021,0.062,0.579,0.002
ENSG00000129009,0.0,0.091,1.354,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.01,0.0,0.006999999999999999
ENSG00000129226,0.027000000000000003,0.063,0.239,3.571,0.128,0.02,0.03,0.764,0.031,0.008,0.0,0.195,0.023,0.552
ENSG00000129422,0.016,4.2410000000000005,0.319,0.011,0.005,0.028,0.023,0.01,0.006,0.051,0.1,0.105,0.02,0.0
ENSG00000129538,0.02,5.624,0.025,0.912,0.012,0.011,0.016,0.062,0.014,0.003,0.008,0.285,0.012,2.405
ENSG00000130176,0.0,0.006999999999999999,1.899,0.002,0.005,0.001,0.001,0.001,0.003,0.002,0.0,0.031,0.003,0.004
ENSG00000130203,0.0,0.199,19.712,7.237,0.024,0.019,0.037000000000000005,0.491,0.009000000000000001,0.021,0.01,0.175,0.03,5.408
ENSG00000130208,0.006,0.034,1.253,2.819,0.006,0.005,0.006999999999999999,0.462,0.008,0.008,0.0,0.015,0.002,2.693
ENSG00000130222,0.133,0.087,0.565,0.275,0.012,0.171,0.073,0.109,0.015,0.051,0.032,0.087,0.209,0.16399999999999998
ENSG00000130234,0.0,0.002,0.003,0.002,0.0,0.001,0.002,0.001,0.0,0.0,0.0,0.158,0.002,0.0
ENSG00000130300,0.04,18.414,0.07400000000000001,0.066,0.021,0.034,0.048,0.037000000000000005,0.029,0.026,0.0,0.022,0.024,0.055
ENSG00000130513,0.019,0.017,0.046,0.022,0.005,0.006,0.005,0.025,0.006,0.004,0.011,0.168,0.003,0.037000000000000005
ENSG00000130635,0.0,0.17600000000000002,3.079,0.003,0.005,0.025,0.012,0.006,0.003,0.003,0.0,0.043,0.047,0.015
ENSG00000130707,0.004,0.53,0.115,0.015,0.01,0.01,0.016,0.008,0.006999999999999999,0.004,0.009000000000000001,0.436,0.022,0.024
ENSG00000131015,0.016,0.077,0.009000000000000001,0.011,0.006999999999999999,0.067,0.08900000000000001,0.01,0.008,0.018000000000000002,0.028,0.004,0.031,0.0
ENSG00000131016,0.068,1.644,1.591,0.024,0.005,0.003,0.005,0.125,0.003,0.003,0.0,0.058,0.004,0.006999999999999999
ENSG00000131055,0.003,0.16899999999999998,0.004,0.002,0.0,0.003,0.003,0.0,0.001,0.0,0.0,0.093,0.001,0.002
ENSG00000131096,0.0,0.001,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.227,0.0,0.026
ENSG00000131097,0.0,0.328,0.004,0.003,0.004,0.004,0.004,0.01,0.003,0.002,0.0,0.087,0.001,0.0
ENSG00000131142,0.021,0.017,0.018000000000000002,0.011,0.028,0.02,0.021,0.012,0.022,0.057,0.04,0.879,0.011,0.0
ENSG00000131188,0.528,0.098,0.062,0.092,0.141,0.421,0.414,0.042,0.196,0.125,0.084,0.131,0.174,0.0
ENSG00000131203,0.005,0.207,0.5529999999999999,1.433,0.03,0.005,0.005,4.013,0.02,0.006,0.0,0.01,0.006999999999999999,1.108
ENSG00000131435,0.0,0.7170000000000001,1.135,0.018000000000000002,0.004,0.006999999999999999,0.006999999999999999,0.016,0.003,0.004,0.0,0.064,0.011,0.018000000000000002
ENSG00000131459,0.067,0.019,0.23,0.021,0.018000000000000002,0.338,0.775,0.026,0.024,0.062,0.011,0.018000000000000002,0.05,0.009000000000000001
